user_id,username,full_name,email,password,course_join_code,course_title,enrollment_status,persona,starting_rating
stu_fte455_001,aarav.sharma.fte455.01,Aarav Sharma,aarav.sharma.fte455.01@gateway-sim.edu,GateSim#FTE455_001_1syuh1,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1331
stu_fte455_002,priya.verma.fte455.02,Priya Verma,priya.verma.fte455.02@gateway-sim.edu,GateSim#FTE455_002_1137wt,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,fast_but_careless,1504
stu_fte455_003,rohan.chatterjee.fte455.03,Rohan Chatterjee,rohan.chatterjee.fte455.03@gateway-sim.edu,GateSim#FTE455_003_1l0r28,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,slow_analytical,1389
stu_fte455_004,ananya.nair.fte455.04,Ananya Nair,ananya.nair.fte455.04@gateway-sim.edu,GateSim#FTE455_004_1e8s75,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,volatile_practicer,1449
stu_fte455_005,vivaan.patel.fte455.05,Vivaan Patel,vivaan.patel.fte455.05@gateway-sim.edu,GateSim#FTE455_005_17q4gq,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,remediation_responder,1436
stu_fte455_006,sneha.joshi.fte455.06,Sneha Joshi,sneha.joshi.fte455.06@gateway-sim.edu,GateSim#FTE455_006_17s3jv,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1335
stu_fte455_007,kabir.menon.fte455.07,Kabir Menon,kabir.menon.fte455.07@gateway-sim.edu,GateSim#FTE455_007_b461aj,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,fast_but_careless,1399
stu_fte455_008,meera.gupta.fte455.08,Meera Gupta,meera.gupta.fte455.08@gateway-sim.edu,GateSim#FTE455_008_1jorey,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,slow_analytical,1503
stu_fte455_009,arjun.malhotra.fte455.09,Arjun Malhotra,arjun.malhotra.fte455.09@gateway-sim.edu,GateSim#FTE455_009_1l9jcu,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,volatile_practicer,1634
stu_fte455_010,isha.iyer.fte455.10,Isha Iyer,isha.iyer.fte455.10@gateway-sim.edu,GateSim#FTE455_010_u07rx9,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,remediation_responder,1478
stu_fte455_011,karan.khan.fte455.11,Karan Khan,karan.khan.fte455.11@gateway-sim.edu,GateSim#FTE455_011_k6ffn0,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1622
stu_fte455_012,nisha.bhat.fte455.12,Nisha Bhat,nisha.bhat.fte455.12@gateway-sim.edu,GateSim#FTE455_012_1utoqe,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,fast_but_careless,1614
stu_fte455_013,aditya.reddy.fte455.13,Aditya Reddy,aditya.reddy.fte455.13@gateway-sim.edu,GateSim#FTE455_013_lep0wi,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,slow_analytical,1335
stu_fte455_014,sara.mehta.fte455.14,Sara Mehta,sara.mehta.fte455.14@gateway-sim.edu,GateSim#FTE455_014_1mw5gf,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,volatile_practicer,1591
stu_fte455_015,dev.pillai.fte455.15,Dev Pillai,dev.pillai.fte455.15@gateway-sim.edu,GateSim#FTE455_015_1grsn6,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,remediation_responder,1694
stu_fte455_016,tanya.kapoor.fte455.16,Tanya Kapoor,tanya.kapoor.fte455.16@gateway-sim.edu,GateSim#FTE455_016_1sjc2k,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1546
stu_fte455_017,rahul.das.fte455.17,Rahul Das,rahul.das.fte455.17@gateway-sim.edu,GateSim#FTE455_017_22loda,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,fast_but_careless,1392
stu_fte455_018,kavya.agarwal.fte455.18,Kavya Agarwal,kavya.agarwal.fte455.18@gateway-sim.edu,GateSim#FTE455_018_y7mimt,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,slow_analytical,1457
stu_fte455_019,neil.bose.fte455.19,Neil Bose,neil.bose.fte455.19@gateway-sim.edu,GateSim#FTE455_019_19jjad,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,volatile_practicer,1373
stu_fte455_020,pooja.rao.fte455.20,Pooja Rao,pooja.rao.fte455.20@gateway-sim.edu,GateSim#FTE455_020_80r7cw,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,remediation_responder,1603
stu_fte455_021,aarav.sharma.fte455.21,Aarav Sharma,aarav.sharma.fte455.21@gateway-sim.edu,GateSim#FTE455_021_9lj58h,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1455
stu_fte455_022,priya.verma.fte455.22,Priya Verma,priya.verma.fte455.22@gateway-sim.edu,GateSim#FTE455_022_1hd51l,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,fast_but_careless,1495
stu_fte455_023,rohan.chatterjee.fte455.23,Rohan Chatterjee,rohan.chatterjee.fte455.23@gateway-sim.edu,GateSim#FTE455_023_1urjcv,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,slow_analytical,1723
stu_fte455_024,ananya.nair.fte455.24,Ananya Nair,ananya.nair.fte455.24@gateway-sim.edu,GateSim#FTE455_024_kaqdp0,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,volatile_practicer,1691
stu_fte455_025,vivaan.patel.fte455.25,Vivaan Patel,vivaan.patel.fte455.25@gateway-sim.edu,GateSim#FTE455_025_51z38l,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,remediation_responder,1510
stu_fte455_026,sneha.joshi.fte455.26,Sneha Joshi,sneha.joshi.fte455.26@gateway-sim.edu,GateSim#FTE455_026_a2jhay,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1583
stu_fte455_027,kabir.menon.fte455.27,Kabir Menon,kabir.menon.fte455.27@gateway-sim.edu,GateSim#FTE455_027_cikszn,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,fast_but_careless,1546
stu_fte455_028,meera.gupta.fte455.28,Meera Gupta,meera.gupta.fte455.28@gateway-sim.edu,GateSim#FTE455_028_1og8e2,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,slow_analytical,1418
stu_fte455_029,arjun.malhotra.fte455.29,Arjun Malhotra,arjun.malhotra.fte455.29@gateway-sim.edu,GateSim#FTE455_029_hau9ft,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,volatile_practicer,1687
stu_fte455_030,isha.iyer.fte455.30,Isha Iyer,isha.iyer.fte455.30@gateway-sim.edu,GateSim#FTE455_030_1tsoxm,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,remediation_responder,1516
stu_fte455_031,karan.khan.fte455.31,Karan Khan,karan.khan.fte455.31@gateway-sim.edu,GateSim#FTE455_031_1vw0ie,FTE455,FTE455 - GATE DA Adaptive Readiness,ready_to_join,steady_improver,1695
